C/C++ Syntax Analyzer with AST
==============================

Token: #include <stdio.h>   Type: PREPROCESSOR   
Token: #include <stdlib.h>  Type: PREPROCESSOR   
Token: #include <string.h>  Type: PREPROCESSOR   
Token: for                  Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: int                  Type: KEYWORD        
Token: i                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 0                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: i                    Type: IDENTIFIER     
Token: <                    Type: RELATIONAL_OP  
Token: 3                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: i                    Type: IDENTIFIER     
Token: ++                   Type: POSTFIX_OP     
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "names[%d] = %s\n"   Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: i                    Type: IDENTIFIER     
Token: ,                    Type: COMMA          
Token: names                Type: IDENTIFIER     
Token: [                    Type: LBRACKET       
Token: i                    Type: IDENTIFIER     
Token: ]                    Type: RBRACKET       
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: }                    Type: RBRACE         
Token: int                  Type: KEYWORD        
Token: add                  Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: int                  Type: KEYWORD        
Token: a                    Type: IDENTIFIER     
Token: ,                    Type: COMMA          
Token: int                  Type: KEYWORD        
Token: b                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: return               Type: KEYWORD        
Token: a                    Type: IDENTIFIER     
Token: +                    Type: ARITHMETIC_OP  
Token: b                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: void                 Type: KEYWORD        
Token: testcase4            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: int                  Type: KEYWORD        
Token: (                    Type: LPAREN         
Token: *                    Type: ARITHMETIC_OP  
Token: fp                   Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: (                    Type: LPAREN         
Token: int                  Type: KEYWORD        
Token: ,                    Type: COMMA          
Token: int                  Type: KEYWORD        
Token: )                    Type: RPAREN         
Token: =                    Type: ASSIGN         
Token: add                  Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTESTCASE 4: Pointer to Function\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "add(5,7) using fp = %d\n" Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: fp                   Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: 5                    Type: INTEGER_CONSTANT
Token: ,                    Type: COMMA          
Token: 7                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: getDanglingPtr       Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: int                  Type: KEYWORD        
Token: x                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 50                   Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: return               Type: KEYWORD        
Token: &                    Type: BITWISE_OP     
Token: x                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: void                 Type: KEYWORD        
Token: testcase7            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTESTCASE 7: Dangling Pointer (unsafe)\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: dp                   Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: getDanglingPtr       Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "Dangling pointer value (undefined) = %d\n" Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: dp                   Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: void                 Type: KEYWORD        
Token: testcase8            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTESTCASE 8: Double Free (dangerous)\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: ptr                  Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: malloc               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: 4                    Type: INTEGER_CONSTANT
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: *                    Type: ARITHMETIC_OP  
Token: ptr                  Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 999                  Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "Value = %d\n"       Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: *                    Type: ARITHMETIC_OP  
Token: ptr                  Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: free                 Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: ptr                  Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "Freed once\n"       Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "Double free avoided (commented out)\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: void                 Type: KEYWORD        
Token: swap                 Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: x                    Type: IDENTIFIER     
Token: ,                    Type: COMMA          
Token: int                  Type: KEYWORD        
Token: *                    Type: ARITHMETIC_OP  
Token: y                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: int                  Type: KEYWORD        
Token: temp                 Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: *                    Type: ARITHMETIC_OP  
Token: x                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: *                    Type: ARITHMETIC_OP  
Token: x                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: *                    Type: ARITHMETIC_OP  
Token: y                    Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: *                    Type: ARITHMETIC_OP  
Token: y                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: temp                 Type: IDENTIFIER     
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: void                 Type: KEYWORD        
Token: testcase9            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: int                  Type: KEYWORD        
Token: a                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 5                    Type: INTEGER_CONSTANT
Token: ,                    Type: COMMA          
Token: b                    Type: IDENTIFIER     
Token: =                    Type: ASSIGN         
Token: 10                   Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "\nTESTCASE 9: Swap using pointers\n" Type: STRING_LITERAL 
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "Before: a=%d b=%d\n" Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: a                    Type: IDENTIFIER     
Token: ,                    Type: COMMA          
Token: b                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: swap                 Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: &                    Type: BITWISE_OP     
Token: a                    Type: IDENTIFIER     
Token: ,                    Type: COMMA          
Token: &                    Type: BITWISE_OP     
Token: b                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: printf               Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: "After : a=%d b=%d\n" Type: STRING_LITERAL 
Token: ,                    Type: COMMA          
Token: a                    Type: IDENTIFIER     
Token: ,                    Type: COMMA          
Token: b                    Type: IDENTIFIER     
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         
Token: int                  Type: KEYWORD        
Token: main                 Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: {                    Type: LBRACE         
Token: testcase1            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: testcase2            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: testcase3            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: testcase4            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: testcase7            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: testcase8            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: testcase9            Type: IDENTIFIER     
Token: (                    Type: LPAREN         
Token: )                    Type: RPAREN         
Token: ;                    Type: SEMICOLON      
Token: return               Type: KEYWORD        
Token: 0                    Type: INTEGER_CONSTANT
Token: ;                    Type: SEMICOLON      
Token: }                    Type: RBRACE         

=== PARSING SUCCESSFUL ===

=== SEMANTIC ANALYSIS ===
=== SEMANTIC ANALYSIS STARTED ===
Line 101: WARNING: Implicit type conversion in initialization: 'int' to 'int*'
Line 101: WARNING: Implicit type conversion in initialization: 'int' to 'int*'
=== SEMANTIC ANALYSIS COMPLETED ===
Found 0 semantic error(s)
Found 2 warning(s)

=== SYMBOL TABLE (ACTIVE SCOPES) ===
Scope 0:
  function 'testcase9' : void (scope: 0, line: 138)
 (scope: 0, line: 138)
  function 'testcase8' : void (scope: 0, line: 120)
 (scope: 0, line: 120)
  function 'main' : int (scope: 0, line: 170) [has_return]
 (scope: 0, line: 170) [has_return]
  function 'testcase7' : void (scope: 0, line: 103)
 (scope: 0, line: 103)
  function 'swap' : void(int*, int*) (scope: 0, line: 129)
    parameter 'x' : int* (scope: 0, line: 0)
 (scope: 0, line: 0)
    parameter 'y' : int* (scope: 0, line: 0)
 (scope: 0, line: 0)
 (int* x, int* y) (scope: 0, line: 129)
  function 'add' : int(int, int) (scope: 0, line: 48) [has_return]
    parameter 'a' : int (scope: 0, line: 0)
 (scope: 0, line: 0)
    parameter 'b' : int (scope: 0, line: 0)
 (scope: 0, line: 0)
 (int a, int b) (scope: 0, line: 48) [has_return]
  function 'getDanglingPtr' : int (scope: 0, line: 97) [has_return]
 (scope: 0, line: 97) [has_return]
  function 'testcase3' : void (scope: 0, line: 43)
 (scope: 0, line: 43)
  function 'testcase4' : void (scope: 0, line: 55)
 (scope: 0, line: 55)
  function 'testcase2' : void (scope: 0, line: 31)
 (scope: 0, line: 31)
  function 'testcase1' : void (scope: 0, line: 17)
 (scope: 0, line: 17)
  constant 'NULL' : void* (scope: 0, line: 0)
 (scope: 0, line: 0)

 Semantic analysis passed with no errors.

=== CODE GENERATION ===

=== THREE ADDRESS CODE ===
testcase1:
    t0 = &arr
    *t0 = 10
    t1 = t0 + 4
    *t1 = 20
    t2 = t0 + 8
    *t2 = 30
    t3 = t0 + 12
    *t3 = 40
    t4 = t0 + 16
    *t4 = 50
    p = arr
    param "\nTESTCASE 1: Pointer Arithmetic\n"
    t5 = call printf, 1
    param "*(p+2) = %d\n"
    t8 = 2 * 4
    t7 = p + t8
    t6 = *t7
    param t6
    t9 = call printf, 2
    t10 = p
    p = p + 1
    param "*p after p++ = %d\n"
    t11 = *p
    param t11
    t12 = call printf, 2
    return
testcase2:
    a[0] = 100
    t13 = &a
    p[0] = t13
    t14 = &p
    pp = t14
    param "\nTESTCASE 2: Pointer to Pointer\n"
    t15 = call printf, 1
    param "a = %d\n"
    t16 = a[0]
    param t16
    t17 = call printf, 2
    param "*p = %d\n"
    t19 = p[0]
    t18 = *t19
    param t18
    t20 = call printf, 2
    param "**pp = %d\n"
    t22 = *pp
    t21 = *t22
    param t21
    t23 = call printf, 2
    return
testcase3:
    names = 
    param "\nTESTCASE 3: Array of Pointers\n"
    t24 = call printf, 1
    i = 0
L0:
    t25 = i < 3
    ifFalse t25 goto L1
    param "names[%d] = %s\n"
    param i
    t26 = i * 1
    t27 = &names
    t28 = t27 + t26
    t29 = *t28
    param t29
    t30 = call printf, 3
L2:
    t31 = i
    i = i + 1
    goto L0
L1:
    return
add:
     = a param_decl int
     = b param_decl int
    t32 = a + b
    return t32
testcase4:
    fp = add
    param "\nTESTCASE 4: Pointer to Function\n"
    t33 = call printf, 1
    param "add(5,7) using fp = %d\n"
    param 5
    param 7
    t34 = call* fp, 2
    param t34
    t35 = call printf, 2
    return
getDanglingPtr:
    x[0] = 50
    t36 = &x
    return t36
testcase7:
    param "\nTESTCASE 7: Dangling Pointer (unsafe)\n"
    t37 = call printf, 1
    t38 = call getDanglingPtr, 0
    dp = t38
    param "Dangling pointer value (undefined) = %d\n"
    t39 = *dp
    param t39
    t40 = call printf, 2
    return
testcase8:
    param "\nTESTCASE 8: Double Free (dangerous)\n"
    t41 = call printf, 1
    param 4
    t42 = call* malloc, 1
    ptr = t42
    *ptr = 999
    param "Value = %d\n"
    t43 = *ptr
    param t43
    t44 = call printf, 2
    param ptr
    t45 = call* free, 1
    param "Freed once\n"
    t46 = call printf, 1
    param "Double free avoided (commented out)\n"
    t47 = call printf, 1
    return
swap:
     = x param_decl int*
     = y param_decl int*
    t48 = *x
    temp = t48
    t49 = *y
    *x = t49
    *y = temp
    return
testcase9:
    a[0] = 5
    b[0] = 10
    param "\nTESTCASE 9: Swap using pointers\n"
    t50 = call printf, 1
    param "Before: a=%d b=%d\n"
    t51 = a[0]
    param t51
    t52 = b[0]
    param t52
    t53 = call printf, 3
    t54 = &a
    param t54
    t55 = &b
    param t55
    call swap, 2
    param "After : a=%d b=%d\n"
    t56 = a[0]
    param t56
    t57 = b[0]
    param t57
    t58 = call printf, 3
    return
main:
    call testcase1, 0
    call testcase2, 0
    call testcase3, 0
    call testcase4, 0
    call testcase7, 0
    call testcase8, 0
    call testcase9, 0
    return 0

Total instructions: 161

=== ABSTRACT SYNTAX TREE ===
TranslationUnit :  (line 1)
  Preprocessor : #include <stdio.h> (line 1)
  Preprocessor : #include <stdlib.h> (line 2)
  Preprocessor : #include <string.h> (line 3)
  FunctionDefinition :  (line 17)
    DeclarationSpecifiers :  (line 8)
      TypeSpecifier : void (line 8)
    FunctionDeclarator :  (line 8)
      DirectDeclarator : testcase1 (line 8)
    CompoundStatement :  (line 17)
      BlockItemList :  (line 9)
        BlockItem :  (line 9)
          Declaration :  (line 9)
            DeclarationSpecifiers :  (line 9)
              TypeSpecifier : int (line 9)
            InitDeclaratorList :  (line 9)
              InitDeclarator :  (line 9)
                ArrayDeclarator :  (line 9)
                  DirectDeclarator : arr (line 9)
                InitializerList :  (line 9)
                  InitializerList :  (line 9)
                    Initializer :  (line 9)
                      Constant : 10 (line 9)
                    Initializer :  (line 9)
                      Constant : 20 (line 9)
                    Initializer :  (line 9)
                      Constant : 30 (line 9)
                    Initializer :  (line 9)
                      Constant : 40 (line 9)
                    Initializer :  (line 9)
                      Constant : 50 (line 9)
        BlockItem :  (line 10)
          Declaration :  (line 10)
            DeclarationSpecifiers :  (line 10)
              TypeSpecifier : int (line 10)
            InitDeclaratorList :  (line 10)
              InitDeclarator :  (line 10)
                Declarator :  (line 10)
                  Pointer :  (line 10)
                  DirectDeclarator : p (line 10)
                Initializer :  (line 10)
                  Identifier : arr (line 10)
        BlockItem :  (line 12)
          ExpressionStatement :  (line 12)
            FunctionCall :  (line 12)
              Identifier : printf (line 12)
              ArgumentList :  (line 12)
                StringLiteral : "\nTESTCASE 1: Pointer Arithmetic\n" (line 12)
        BlockItem :  (line 13)
          ExpressionStatement :  (line 13)
            FunctionCall :  (line 13)
              Identifier : printf (line 13)
              ArgumentList :  (line 13)
                StringLiteral : "*(p+2) = %d\n" (line 13)
                UnaryExpression : * (line 13)
                  AdditiveExpression : + (line 13)
                    Identifier : p (line 13)
                    Constant : 2 (line 13)
        BlockItem :  (line 15)
          ExpressionStatement :  (line 15)
            PostfixExpression : ++ (line 15)
              Identifier : p (line 15)
        BlockItem :  (line 16)
          ExpressionStatement :  (line 16)
            FunctionCall :  (line 16)
              Identifier : printf (line 16)
              ArgumentList :  (line 16)
                StringLiteral : "*p after p++ = %d\n" (line 16)
                UnaryExpression : * (line 16)
                  Identifier : p (line 16)
  FunctionDefinition :  (line 31)
    DeclarationSpecifiers :  (line 22)
      TypeSpecifier : void (line 22)
    FunctionDeclarator :  (line 22)
      DirectDeclarator : testcase2 (line 22)
    CompoundStatement :  (line 31)
      BlockItemList :  (line 23)
        BlockItem :  (line 23)
          Declaration :  (line 23)
            DeclarationSpecifiers :  (line 23)
              TypeSpecifier : int (line 23)
            InitDeclaratorList :  (line 23)
              InitDeclarator :  (line 23)
                DirectDeclarator : a (line 23)
                Initializer :  (line 23)
                  Constant : 100 (line 23)
        BlockItem :  (line 24)
          Declaration :  (line 24)
            DeclarationSpecifiers :  (line 24)
              TypeSpecifier : int (line 24)
            InitDeclaratorList :  (line 24)
              InitDeclarator :  (line 24)
                Declarator :  (line 24)
                  Pointer :  (line 24)
                  DirectDeclarator : p (line 24)
                Initializer :  (line 24)
                  UnaryExpression : & (line 24)
                    Identifier : a (line 24)
        BlockItem :  (line 25)
          Declaration :  (line 25)
            DeclarationSpecifiers :  (line 25)
              TypeSpecifier : int (line 25)
            InitDeclaratorList :  (line 25)
              InitDeclarator :  (line 25)
                Declarator :  (line 25)
                  Pointer :  (line 25)
                    Pointer :  (line 25)
                  DirectDeclarator : pp (line 25)
                Initializer :  (line 25)
                  UnaryExpression : & (line 25)
                    Identifier : p (line 25)
        BlockItem :  (line 27)
          ExpressionStatement :  (line 27)
            FunctionCall :  (line 27)
              Identifier : printf (line 27)
              ArgumentList :  (line 27)
                StringLiteral : "\nTESTCASE 2: Pointer to Pointer\n" (line 27)
        BlockItem :  (line 28)
          ExpressionStatement :  (line 28)
            FunctionCall :  (line 28)
              Identifier : printf (line 28)
              ArgumentList :  (line 28)
                StringLiteral : "a = %d\n" (line 28)
                Identifier : a (line 28)
        BlockItem :  (line 29)
          ExpressionStatement :  (line 29)
            FunctionCall :  (line 29)
              Identifier : printf (line 29)
              ArgumentList :  (line 29)
                StringLiteral : "*p = %d\n" (line 29)
                UnaryExpression : * (line 29)
                  Identifier : p (line 29)
        BlockItem :  (line 30)
          ExpressionStatement :  (line 30)
            FunctionCall :  (line 30)
              Identifier : printf (line 30)
              ArgumentList :  (line 30)
                StringLiteral : "**pp = %d\n" (line 30)
                UnaryExpression : * (line 30)
                  UnaryExpression : * (line 30)
                    Identifier : pp (line 30)
  FunctionDefinition :  (line 43)
    DeclarationSpecifiers :  (line 36)
      TypeSpecifier : void (line 36)
    FunctionDeclarator :  (line 36)
      DirectDeclarator : testcase3 (line 36)
    CompoundStatement :  (line 43)
      BlockItemList :  (line 37)
        BlockItem :  (line 37)
          Declaration :  (line 37)
            DeclarationSpecifiers :  (line 37)
              TypeSpecifier : char (line 37)
            InitDeclaratorList :  (line 37)
              InitDeclarator :  (line 37)
                Declarator :  (line 37)
                  Pointer :  (line 37)
                  ArrayDeclarator :  (line 37)
                    DirectDeclarator : names (line 37)
                InitializerList :  (line 37)
                  InitializerList :  (line 37)
                    Initializer :  (line 37)
                      StringLiteral : "Alice" (line 37)
                    Initializer :  (line 37)
                      StringLiteral : "Bob" (line 37)
                    Initializer :  (line 37)
                      StringLiteral : "Charlie" (line 37)
        BlockItem :  (line 39)
          ExpressionStatement :  (line 39)
            FunctionCall :  (line 39)
              Identifier : printf (line 39)
              ArgumentList :  (line 39)
                StringLiteral : "\nTESTCASE 3: Array of Pointers\n" (line 39)
        BlockItem :  (line 42)
          ForStatement :  (line 42)
            ForInitStatement :  (line 40)
              Declaration :  (line 40)
                DeclarationSpecifiers :  (line 40)
                  TypeSpecifier : int (line 40)
                InitDeclaratorList :  (line 40)
                  InitDeclarator :  (line 40)
                    DirectDeclarator : i (line 40)
                    Initializer :  (line 40)
                      Constant : 0 (line 40)
            ExpressionStatement :  (line 40)
              RelationalExpression : < (line 40)
                Identifier : i (line 40)
                Constant : 3 (line 40)
            PostfixExpression : ++ (line 40)
              Identifier : i (line 40)
            CompoundStatement :  (line 42)
              BlockItemList :  (line 41)
                BlockItem :  (line 41)
                  ExpressionStatement :  (line 41)
                    FunctionCall :  (line 41)
                      Identifier : printf (line 41)
                      ArgumentList :  (line 41)
                        StringLiteral : "names[%d] = %s\n" (line 41)
                        Identifier : i (line 41)
                        ArraySubscript :  (line 41)
                          Identifier : names (line 41)
                          Identifier : i (line 41)
